"","id","pobre_clasificacion","pobre_ingreso"
"1","0002443d88b50de0647eee82",0,0
"2","0004dde9aee207df47e765bf",0,0
"3","0008cdfc4335ed9fead9a42b",0,0
"4","000b63dac385632f3e0e8e56",0,0
"5","000dd100dd479f3871afc576",0,0
"6","000fda60ee562b5987f5c695",0,0
"7","001066dfb58ef540f5c10b16",0,0
"8","00108375c84028f3f825ddc7",0,0
"9","00123cca9b90e7a8031cc6c6",0,0
"10","00137935573fc85832fbd990",0,0
"11","001490a4744bf7ab9bf3a451",0,0
"12","001492ceb7fbacf9e61a2d14",0,0
"13","001562aafa5f931978e46a6f",0,0
"14","00158f41f0025a828cbd060f",0,0
"15","00181403a69fc5ce142a7c83",0,0
"16","001b8c6672e70e7a8073f11b",0,0
"17","001c530a03deae4238222a36",0,0
"18","00214960dcf51742034b815f",0,0
"19","0021b91ff84281ced02182cf",0,0
"20","00246c95a64dbfb9c6be440c",0,0
"21","002662886aaed2c237d4713a",0,0
"22","0027fc8346acf950fd326203",0,0
"23","002990a9bd2cad7d61ca802f",0,0
"24","002b75d8a72b1970032f08b0",0,0
"25","002dbc195dda2b7bb42d11ba",0,0
"26","002e3044a7b0123671888069",0,0
"27","002f4ac75cfbf6e4ecbb0786",0,0
"28","002fb12cd1ab3137314cb117",0,0
"29","00329bc1e616e255830413fb",0,0
"30","0032b47f2fa1517fda2d1d68",0,0
"31","003324c10d83a3160bb8d76d",0,0
"32","003538db7cfacc475375633b",0,0
"33","003601525d989a79f2411473",0,0
"34","003862f7ed20b1be6843d769",0,0
"35","003875bbec89e5eeca35581e",0,0
"36","00391b89389ae5f67ac52248",0,0
"37","003e314fc504ebcb2c87f2d5",0,0
"38","003f6efc1d962d83ab85324a",0,0
"39","0040037a4586d65ebb1d83d1",0,0
"40","00400f186347848fc130a54f",0,0
"41","004125b947b6fbca1a074f55",0,0
"42","0042a982c5dd8f37387ef47e",0,0
"43","004347c9bcab44f77756a213",0,0
"44","0045ab443cf622594ee1850f",0,0
"45","0045b9fbd3006973b75b4f6c",0,0
"46","004793baa2c2a0a521170f84",0,0
"47","004a820ba7d00fbfc3430023",0,0
"48","004b908461ebe82f43cbaecf",0,0
"49","004c272392e59fdde63bc68d",0,0
"50","0052072affec2a71bdb9d284",0,0
"51","0053053ae7dd5691adbd5e93",0,0
"52","0053a0c63ca29c7c79288a24",0,0
"53","00574a75bb5aa0c9a24a9b33",0,0
"54","0057df01a50d2820272ff57a",0,0
"55","00595f68d4e4f3db14342c22",0,0
"56","005b37dbea4416bfe0c58fcb",0,0
"57","005b98a28804cbf7cb22272f",0,0
"58","005ce11198fed1f76f19913d",0,0
"59","005f04ce3460d45011bc6303",0,0
"60","0061d6729a84d2a600ef3311",0,0
"61","00624ea6dbf4358680c0557b",0,0
"62","00630ce2a399da06ca339cce",0,0
"63","0063212f30a2796da7055c68",0,0
"64","0063d10ce00c89619a07f838",0,0
